Setup Time (ns)	Leakage Power (nW)	Dynamic Power (nW)	Total Power (nW)
0.100000	4.716000	12771.592000	12776.308000
0.200000	4.753000	12906.937000	12911.690000
0.300000	4.790000	13033.749000	13038.540000
0.400000	4.790000	13033.749000	13038.540000
0.500000	4.790000	13033.749000	13038.540000
0.600000	4.790000	13033.749000	13038.540000
0.700000	4.790000	13033.749000	13038.540000
0.800000	4.790000	13033.749000	13038.540000
0.900000	4.790000	13033.749000	13038.540000
1.000000	4.790000	13033.749000	13038.540000
